SCORE,SaleEnds,description,SaleStarted,LowestPrice,Image,MainStory,platform,URL,Trailer,PercentOff,Completionist,genre,PlusPrice,MexPrice,OpenCriticURL,Title,ESRBRating,Publisher,ReleaseDate,Slug,IsPS5,Price,MainExtra,SalePrice,IsPS4
,1990-01-01,"PLAY THE CREW™ MOTORFEST FOR FREE FROM 10/10 TO 10/20! From 10/10 to 10/20, grab your ticket to Motorfest and try the full game for 5 hours for free! Everything you did and unlocked during your free trial will be saved and available if you decide to buy the full game. This product entitles you to download both the digital PS4® version and the digital PS5® version of this game. Welcome to Motorfest! This all-year-round festival will let you enjoy the best experiences car culture has to offer. EXPLORE A VIBRANT HAWAIIAN OPEN WORLD The Crew Motorfest has settled down in one of the most breathtaking places on Earth: the island of O‘ahu, Hawaii. Join high-speed street races through the bustling city of Honolulu, test your skills off-road on the ashy slopes of a volcano, or master the perfect curve on the tracks. CELEBRATE ALL THE FACETS OF CAR CULTURE Enjoy a variety of thrilling driving activities and choose how you want to have fun with your cars! Discover the playlists and dive into thematic campaigns that will immerse you in the most exciting car culture universes, including American muscle, Japanese-style street racing, and legendary machines of the past! COLLECT THE MOST LEGENDARY CARS Compete in intense driving races, show off your own style, collect the most iconic cars, and much more! Master every driving challenge and fill your collection with the most legendary vehicles ever created.",1989-12-17,,https://image.api.playstation.com/vulcan/ap/rnd/202306/0710/8ad6967a749c971c1910b94d76dc33cbb0a4c5da84ec5e6d.png?w=200,,Playstation,https://store.playstation.com/en-tr/product/EP0001-PPSA14723_00-THECREWORL000000,,20%,,Driving/Racing,1119.2,https://image.api.playstation.com/vulcan/ap/rnd/202306/0710/8ad6967a749c971c1910b94d76dc33cbb0a4c5da84ec5e6d.png,,The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,TRD,UBISOFT ENTERTAINMENT SA,2023-09-14,the-crew-motorfest-standard-edition--crossgen-bundle-ps4&ps5-tr,1,1399,,1119.2,1
,1990-01-01,"This product entitles you to download the PS4® digital version. If you wish to play the PS5® digital version, you can update this product at a later date with the upgrade pack. The PS5® digital version is also available directly through the Cross-Gen Bundle or Gold and Ultimate editions. PLAY THE CREW™ MOTORFEST FOR FREE FROM 10/10 TO 10/20! From 10/10 to 10/20, grab your ticket to Motorfest and try the full game for 5 hours for free! Everything you did and unlocked during your free trial will be saved and available if you decide to buy the full game. Welcome to Motorfest! This all-year-round festival will let you enjoy the best experiences car culture has to offer. EXPLORE A VIBRANT HAWAIIAN OPEN WORLD The Crew Motorfest has settled down in one of the most breathtaking places on Earth: the island of O‘ahu, Hawaii. Join high-speed street races through the bustling city of Honolulu, test your skills off-road on the ashy slopes of a volcano, or master the perfect curve on the tracks. CELEBRATE ALL THE FACETS OF CAR CULTURE Enjoy a variety of thrilling driving activities and choose how you want to have fun with your cars! Discover the playlists and dive into thematic campaigns that will immerse you in the most exciting car culture universes, including American muscle, Japanese-style street racing, and legendary machines of the past! COLLECT THE MOST LEGENDARY CARS Compete in intense driving races, show off your own style, collect the most iconic cars, and much more! Master every driving challenge and fill your collection with the most legendary vehicles ever created.",1989-12-17,,https://image.api.playstation.com/vulcan/ap/rnd/202305/2315/607d9ed1ac762c9de33ef73fd09b3431d0b96ef4985ac2fb.png?w=200,,Playstation,https://store.playstation.com/en-tr/product/EP0001-CUSA41734_00-THECREWORL000000,,20%,,Driving/Racing,999.2,https://image.api.playstation.com/vulcan/ap/rnd/202305/2315/607d9ed1ac762c9de33ef73fd09b3431d0b96ef4985ac2fb.png,,The Crew™ Motorfest Standard Edition,TRD,UBISOFT ENTERTAINMENT SA,2023-09-13,the-crew-motorfest-standard-edition-ps4-tr,0,1249,,999.2,1
,2023-10-18,"This product entitles you to download both the digital PS4® version and the digital PS5® version of this game. Gold Edition includes the Year 1 Pass, with three cars available on day one and two additional cars unlocked monthly. Welcome to Motorfest! This all-year-round festival will let you enjoy the best experiences car culture has to offer. EXPLORE A VIBRANT HAWAIIAN OPEN WORLD The Crew Motorfest has settled down in one of the most breathtaking places on Earth: the island of O‘ahu, Hawaii. Join high-speed street races through the bustling city of Honolulu, test your skills off-road on the ashy slopes of a volcano, or master the perfect curve on the tracks. CELEBRATE ALL THE FACETS OF CAR CULTURE Enjoy a variety of thrilling driving activities and choose how you want to have fun with your cars! Discover the playlists and dive into thematic campaigns that will immerse you in the most exciting car culture universes, including American muscle, Japanese-style street racing, and legendary machines of the past! COLLECT THE MOST LEGENDARY CARS Compete in intense driving races, show off your own style, collect the most iconic cars, and much more! Master every driving challenge and fill your collection with the most legendary vehicles ever created.",2023-10-03,,https://image.api.playstation.com/vulcan/ap/rnd/202305/3016/2c82283597f0216bc4d0b7e2e542dea91d6b76de095343cc.png?w=200,,Playstation,https://store.playstation.com/en-tr/product/EP0001-PPSA14723_00-THECREWMGOLD0000,,15%,,Driving/Racing,1486.65,https://image.api.playstation.com/vulcan/ap/rnd/202305/3016/2c82283597f0216bc4d0b7e2e542dea91d6b76de095343cc.png,,The Crew™ Motorfest Gold Edition,TRD,UBISOFT ENTERTAINMENT SA,2023-09-11,the-crew-motorfest-gold-edition-ps4&ps5-tr,1,1749,,1486.65,1
,2023-10-18,"This product entitles you to download both the digital PS4® version and the digital PS5® version of this game. Ultimate Edition includes: - The Year 1 Pass, with three cars available on day one and two additional cars unlocked monthly. - The Fitted Ultimate Pack with two cars: Porsche 718 Spyder 2021 Fitted Edition and Honda Civic Type R 2021 Fitted Edition. Welcome to Motorfest! This all-year-round festival will let you enjoy the best experiences car culture has to offer. EXPLORE A VIBRANT HAWAIIAN OPEN WORLD The Crew Motorfest has settled down in one of the most breathtaking places on Earth: the island of O‘ahu, Hawaii. Join high-speed street races through the bustling city of Honolulu, test your skills off-road on the ashy slopes of a volcano, or master the perfect curve on the tracks. CELEBRATE ALL THE FACETS OF CAR CULTURE Enjoy a variety of thrilling driving activities and choose how you want to have fun with your cars! Discover the playlists and dive into thematic campaigns that will immerse you in the most exciting car culture universes, including American muscle, Japanese-style street racing, and legendary machines of the past! COLLECT THE MOST LEGENDARY CARS Compete in intense driving races, show off your own style, collect the most iconic cars, and much more! Master every driving challenge and fill your collection with the most legendary vehicles ever created.",2023-10-03,,https://image.api.playstation.com/vulcan/ap/rnd/202306/0501/7a837526c2b3a1ae6bda92707fb7d2fc7a3afb47de5e6f4a.png?w=200,,Playstation,https://store.playstation.com/en-tr/product/EP0001-PPSA14723_00-THECREWMULTI0000,,15%,,Driving/Racing,1784.15,https://image.api.playstation.com/vulcan/ap/rnd/202306/0501/7a837526c2b3a1ae6bda92707fb7d2fc7a3afb47de5e6f4a.png,,The Crew™ Motorfest Ultimate Edition,TRD,UBISOFT ENTERTAINMENT SA,2023-09-11,the-crew-motorfest-ultimate-edition-ps4&ps5-tr,1,2099,,1784.15,1
